angles,voltages,peak 0 step#,peak 0 voltage,peak 1 step#,peak 1 voltage,peak 2 step#,peak 2 voltage,peak 3 step#,peak 3 voltage,peak 4 step#,peak 4 voltage,peak 5 step#,peak 5 voltage,peak 6 step#,peak 6 voltage,peak 7 step#,peak 7 voltage,peak 8 step#,peak 8 voltage,peak 9 step#,peak 9 voltage,peak 10 step#,peak 10 voltage,peak 11 step#,peak 11 voltage,peak 12 step#,peak 12 voltage,peak 13 step#,peak 13 voltage,peak 14 step#,peak 14 voltage,peak 15 step#,peak 15 voltage,peak 16 step#,peak 16 voltage,peak 17 step#,peak 17 voltage,peak 18 step#,peak 18 voltage,peak 19 step#,peak 19 voltage,peak 20 step#,peak 20 voltage,peak 21 step#,peak 21 voltage,peak 22 step#,peak 22 voltage,peak 23 step#,peak 23 voltage,peak 24 step#,peak 24 voltage,peak 25 step#,peak 25 voltage,peak 26 step#,peak 26 voltage,peak 27 step#,peak 27 voltage,peak 28 step#,peak 28 voltage,peak 29 step#,peak 29 voltage,peak 30 step#,peak 30 voltage,peak 31 step#,peak 31 voltage,peak 32 step#,peak 32 voltage,peak 33 step#,peak 33 voltage,peak 34 step#,peak 34 voltage,peak 35 step#,peak 35 voltage,peak 36 step#,peak 36 voltage,peak 37 step#,peak 37 voltage,peak 38 step#,peak 38 voltage,peak 39 step#,peak 39 voltage,peak 40 step#,peak 40 voltage,peak 41 step#,peak 41 voltage,peak 42 step#,peak 42 voltage,peak 43 step#,peak 43 voltage,peak 44 step#,peak 44 voltage,peak 45 step#,peak 45 voltage,peak 46 step#,peak 46 voltage,peak 47 step#,peak 47 voltage,peak 48 step#,peak 48 voltage,peak 49 step#,peak 49 voltage,peak 50 step#,peak 50 voltage,peak 51 step#,peak 51 voltage,peak 52 step#,peak 52 voltage,peak 53 step#,peak 53 voltage,peak 54 step#,peak 54 voltage,peak 55 step#,peak 55 voltage,peak 56 step#,peak 56 voltage,peak 57 step#,peak 57 voltage,peak 58 step#,peak 58 voltage,peak 59 step#,peak 59 voltage
0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,4.0,0.0,5.0,0.0,6.0,0.0,7.0,0.0,8.0,0.0,9.0,0.0,10.0,0.0,11.0,0.0,12.0,0.0,13.0,0.0,14.0,0.0,15.0,0.0,16.0,0.0,17.0,0.0,18.0,0.0,19.0,0.0,20.0,0.0,21.0,0.0,22.0,0.0,23.0,0.0,24.0,0.0,25.0,0.0,26.0,0.0,27.0,0.0,28.0,0.0,29.0,0.0,30.0,0.0,31.0,0.0,32.0,0.0,33.0,0.0,34.0,0.0,35.0,0.0,36.0,0.0,37.0,0.0,38.0,0.0,39.0,0.0,40.0,0.0,41.0,0.0,42.0,0.0,43.0,0.0,44.0,0.0,45.0,0.0,46.0,0.0,47.0,0.0,48.0,0.0,49.0,0.0,50.0,0.0,51.0,0.0,52.0,0.0,53.0,0.0,54.0,0.0,55.0,0.0,56.0,0.0,57.0,0.0,58.0,0.0,59.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,4.0,0.0,5.0,0.0,6.0,0.0,7.0,0.0,8.0,0.0,9.0,0.0,10.0,0.0,11.0,0.0,12.0,0.0,13.0,0.0,14.0,0.0,15.0,0.0,16.0,0.0,17.0,0.0,18.0,0.0,19.0,0.0,20.0,0.0,21.0,0.0,22.0,0.0,23.0,0.0,24.0,0.0,25.0,0.0,26.0,0.0,27.0,0.0,28.0,0.0,29.0,0.0,30.0,0.0,31.0,0.0,32.0,0.0,33.0,0.0,34.0,0.0,35.0,0.0,36.0,0.0,37.0,0.0,38.0,0.0,39.0,0.0,40.0,0.0,41.0,0.0,42.0,0.0,43.0,0.0,44.0,0.0,45.0,0.0,46.0,0.0,47.0,0.0,48.0,0.0,49.0,0.0,50.0,0.0,51.0,0.0,52.0,0.0,53.0,0.0,54.0,0.0,55.0,0.0,56.0,0.0,57.0,0.0,58.0,0.0,59.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,4.0,0.0,5.0,0.0,6.0,0.0,7.0,0.0,8.0,0.0,9.0,0.0,10.0,0.0,11.0,0.0,12.0,0.0,13.0,0.0,14.0,0.0,15.0,0.0,16.0,0.0,17.0,0.0,18.0,0.0,19.0,0.0,20.0,0.0,21.0,0.0,22.0,0.0,23.0,0.0,24.0,0.0,25.0,0.0,26.0,0.0,27.0,0.0,28.0,0.0,29.0,0.0,30.0,0.0,31.0,0.0,32.0,0.0,33.0,0.0,34.0,0.0,35.0,0.0,36.0,0.0,37.0,0.0,38.0,0.0,39.0,0.0,40.0,0.0,41.0,0.0,42.0,0.0,43.0,0.0,44.0,0.0,45.0,0.0,46.0,0.0,47.0,0.0,48.0,0.0,49.0,0.0,50.0,0.0,51.0,0.0,52.0,0.0,53.0,0.0,54.0,0.0,55.0,0.0,56.0,0.0,57.0,0.0,58.0,0.0,59.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,4.0,0.0,5.0,0.0,6.0,0.0,7.0,0.0,8.0,0.0,9.0,0.0,10.0,0.0,11.0,0.0,12.0,0.0,13.0,0.0,14.0,0.0,15.0,0.0,16.0,0.0,17.0,0.0,18.0,0.0,19.0,0.0,20.0,0.0,21.0,0.0,22.0,0.0,23.0,0.0,24.0,0.0,25.0,0.0,26.0,0.0,27.0,0.0,28.0,0.0,29.0,0.0,30.0,0.0,31.0,0.0,32.0,0.0,33.0,0.0,34.0,0.0,35.0,0.0,36.0,0.0,37.0,0.0,38.0,0.0,39.0,0.0,40.0,0.0,41.0,0.0,42.0,0.0,43.0,0.0,44.0,0.0,45.0,0.0,46.0,0.0,47.0,0.0,48.0,0.0,49.0,0.0,50.0,0.0,51.0,0.0,52.0,0.0,53.0,0.0,54.0,0.0,55.0,0.0,56.0,0.0,57.0,0.0,58.0,0.0,59.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,4.0,0.0,5.0,0.0,6.0,0.0,7.0,0.0,8.0,0.0,9.0,0.0,10.0,0.0,11.0,0.0,12.0,0.0,13.0,0.0,14.0,0.0,15.0,0.0,16.0,0.0,17.0,0.0,18.0,0.0,19.0,0.0,20.0,0.0,21.0,0.0,22.0,0.0,23.0,0.0,24.0,0.0,25.0,0.0,26.0,0.0,27.0,0.0,28.0,0.0,29.0,0.0,30.0,0.0,31.0,0.0,32.0,0.0,33.0,0.0,34.0,0.0,35.0,0.0,36.0,0.0,37.0,0.0,38.0,0.0,39.0,0.0,40.0,0.0,41.0,0.0,42.0,0.0,43.0,0.0,44.0,0.0,45.0,0.0,46.0,0.0,47.0,0.0,48.0,0.0,49.0,0.0,50.0,0.0,51.0,0.0,52.0,0.0,53.0,0.0,54.0,0.0,55.0,0.0,56.0,0.0,57.0,0.0,58.0,0.0,59.0,0.0
1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
